	diff.btw	diff.btw	diff.win	diff.win	effect	effect	label	label	overlap	overlap	rab.all	rab.all	rab.sample.B121	rab.sample.B122	rab.sample.B123	rab.sample.B124	rab.sample.B125	rab.sample.B126	rab.sample.B127	rab.sample.B128	rab.sample.B137	rab.sample.B138	rab.sample.B139	rab.sample.B140	rab.sample.B141	rab.sample.B142	rab.sample.B143	rab.sample.B144	rab.sample.B169	rab.sample.B170	rab.sample.B171	rab.sample.B172	rab.sample.B173	rab.sample.B174	rab.sample.B175	rab.sample.B176	rab.sample.B184	rab.sample.B185	rab.sample.B186	rab.sample.B187	rab.sample.B188	rab.sample.B189	rab.sample.B190	rab.sample.B191	rab.win.H	rab.win.RT	rab.win.trH	rab.win.trRT	we.eBH	we.eBH	we.ep	we.ep	wi.eBH	wi.eBH	wi.ep	wi.ep
Anaerovorax	-1.3121687572253	0.138666432014255	4.7018909695605995	4.446925071419249	-0.27333292665076697	0.0272479115368432	Not significant	Not significant	0.34960942756316604	0.48437500497190206	-2.9675715109611702	-2.7572448644351	-7.90867832934281	-5.715235648611929	-1.49809971333752	-6.45625123872149	-5.798084226673599	-1.06240611587532	-1.6092588429003	-1.54179834392932	-2.3301017539718702	-1.78264182003778	-1.73684524040501	-3.33575412441764	-5.86773193930233	-3.02864589834047	-2.71283612659858	-7.84561923100546	-1.56975678304043	-6.34421777624509	-5.71188823285561	-7.19535765371038	-2.00729742141639	-0.869864098624859	-6.097975150450929	-5.8433619230795895	-2.62469344416233	-0.010572107911476	-5.548585745164781	-1.4888595240359699	-1.4840899458737902	-5.90332110207809	-5.576404537052469	-1.08525035446528	-4.33113358793069	-2.2100130102742903	-2.64602748747734	-2.77613539097062	0.573062161346255	0.829192080510315	0.40959460585823104	0.619105176087072	0.571127384704429	0.9018095458362622	0.39538291569541606	0.7773783508158509
Angelakisella	-0.758696955520704	0.40137558775295296	6.08634774186085	6.81803111227889	-0.128256233252345	0.0484521686324318	Not significant	Not significant	0.421875025456736	0.4639376333113279	-5.6910768345310405	-5.816280799750181	0.17389938212168302	-5.90082926933501	-7.138912001062889	-6.055428513954049	-5.8108830889409	-6.4082767561461695	-6.6425950435287495	0.275166999915297	0.619361508163072	-8.09606500168239	-6.29395751535887	-7.78158700170677	-6.1937920616031805	0.410199795706967	-7.7081187708495795	-7.56385339706794	-7.0690189086632405	-5.58550160553221	-6.002622624757461	-6.46786259913246	-6.3052003190645	-7.2577145854096905	-6.408102250785039	0.43973195838608703	-7.2226540055464	-7.02560776565449	0.513686506064016	-5.60359057254789	0.140961131463197	-5.815997360048111	-5.35559425566275	-7.8024908879273704	-5.95206340374679	-5.46828727782945	-5.3669965201818695	-6.4401720133459195	0.699151834066966	0.837908996899263	0.56189118630901	0.639179963827406	0.7041047892978219	0.829260211248286	0.5793669871794871	0.647964015151515
Bacteria.other	-0.31956583415103396	0.7241197706192108	4.2291298271547	4.8007340852468605	-0.0607193562142478	0.131530482942893	Not significant	Not significant	0.47265625871840705	0.42495129136865994	-6.18252709054406	-1.31063419957467	-1.45256728662888	1.13998153974397	-7.3312225531461	-2.55545525713958	-0.6109801892829029	0.535243673993844	-0.21219746984166196	-2.1040227587614297	-1.12653405054963	0.539931940413487	-6.77235123761609	-8.02174371050481	0.8492048734284731	-6.662557687088519	-2.2368323923987403	0.162022728503127	-7.0258310158046795	-6.48824440282691	-5.9716382123807	-7.06830460161074	-3.47913272604007	-7.3880706408617405	-6.244110077179119	-6.523320265033469	-6.3618186039106295	-7.327733834972251	-3.03824848883307	-5.69049401523633	-7.2683125409598395	-5.51099405657867	-6.049493995607129	-7.87463050230901	-6.21060914209907	-6.12723844401281	-1.12668036392392	-1.5645059932041	0.6884678771355811	0.761023392392883	0.554043527614064	0.46705812576044	0.713084427098058	0.850537272310308	0.5917419386169389	0.659242667055167
Bacteroides	-0.17297168992118803	0.6019905144691651	1.03713031061352	1.4306422680306201	-0.161736555897022	0.498254339917388	Not significant	Not significant	0.43164064714476	0.29629637363661604	6.554767068546161	6.77391865978475	7.53338713451928	8.07595798415179	6.257532820653321	7.9765568116038095	7.25312199051327	6.46730176142422	7.0511339414668095	5.7734802546661905	5.5062908034639	5.461239607291599	7.515854984124661	5.91390255028664	7.402199370168169	7.58180779414021	6.06721417697093	6.09565621567102	5.418898965042111	6.599232989230809	6.961981137201951	6.42238331229339	5.6343162298125495	6.248244240961929	6.94567302846731	7.27341357197117	7.05890484059973	5.77168551605997	6.40306618169741	7.4778531956883	5.9724153769963095	7.18270027257182	6.9045375882765105	5.85608016619108	6.51334391436288	6.6609751734689295	7.163930950861269	6.09761257050362	0.803961553493465	0.5768526898797399	0.678760855131808	0.200364977217144	0.8141604464558001	0.5307645671007111	0.7160341394716391	0.21365943084693104
Bifidobacterium	6.49258137994598		5.604426721425849		1.01025036648902		Not significant		0.120857982285373		-4.62918451281759																		-2.00987775863432	-0.7439542538076299	3.46752982149921	2.85092840760704	3.96028170083128	-2.83941227899202	-6.1401344998668	-6.335739872587039	-6.39126449124545	-7.332431860838731	-6.20441724704095	-5.32354756636557	-7.88611237797676	-5.4638459195078095	-5.73384778470942	-8.13086255571664	-1.3719239605086202	-6.52783423847443			0.11033372075830901		0.0239484207877043		0.10387883724312		0.0193776709401709	
Bilophila	-1.38086995618983	0.444882173421605	4.76986543180923	0.9089308880755259	-0.28837498473655204	0.49072078831482796	Not significant	Not significant	0.283203209874398	0.330078186069789	-0.980811728663882	1.42382814415974	0.810304829563763	1.69226391510246	2.79718582426906	1.2260394395618401	1.26741791249168	1.2617904427002802	2.20466908596137	2.4031090325039703	1.2213985998561498	1.5882468611112601	1.38092001839586	1.6284383324678	1.4592489261179	1.20458019078355	1.23845986167174	0.26081409242591697	-0.879443976808854	-5.7398176950031194	-6.2563299554144	-7.04641625366504	-0.5673609944432819	-0.253976693703265	-0.883295551307842	-5.867498805488321	-0.678462737997588	-0.0185407478634918	-1.3976216825220502	-5.39973877759591	0.520623994395866	-0.153886476826367	-5.72380654535045	0.9424718976348159	-2.38345166487372	-0.487354126053622	1.62982991113731	1.33959284340205	0.4825396884799629	0.5215126621262021	0.29693932657621397	0.17326501800159802	0.40366244770044296	0.609525330050675	0.20739729020979003	0.32562767094017103
Butyricicoccus	-0.5551387276420551	0.33331223644097396	1.4736839968153401	1.28897774539274	-0.174861652135106	0.137147391884518	Not significant	Not significant	0.373046918138304	0.38791426738973	1.85878424978647	0.748348116236207	2.04268083388949	-5.57479995185533	1.01025150906168	0.612362577251104	0.721289604295446	1.28613261793828	0.37078474200577793	1.8529455448336398	0.25366898486323697	-0.507928577125654	0.13995315238586498	1.10140031623337	0.447552887849792	1.8706234770437398	0.849609663582376	0.600288257347933	1.04493543902789	1.84142661067734	1.23927486572596	0.702218317993703	2.13060895266919	1.8470327989700002	1.8535040885475302	2.22805960432368	1.3431050500681299	2.2144182454128902	2.01829410955465	-5.5108792856074	3.5532755101915403	2.99490538382761	0.732069964026522	3.1835502452801094	1.7419817918083103	2.12953266699824	0.951496812987864	0.577815832293546	0.856769874221739	0.887225482835173	0.7708235778851891	0.727310021463402	0.634647345075031	0.7355703774618492	0.456517094017094	0.482402146464646
Butyrivibrio	-3.80072770964965		5.8063736599835805		-0.570174956983715		Not significant		0.251462092831322		-4.8829926627034																		-7.04950116485368	-5.871628758520661	-6.6751943792379995	-7.15527682230502	-6.9298309990459	-0.48202955437137296	-6.64354829963999	-6.558947617443559	-1.0834290411508498	0.47675273608044805	-6.563546141063029	-5.380223366292861	1.09155907321704	-5.720416501917759	-5.81547907980424	0.67275954613428	-6.244179186357111	-1.88992652880943			0.34303435420082395		0.168837685684477		0.328915441209715		0.156322843822844	
Caldicoprobacter	0.877973089220473		2.67038831684212		0.29168354298367305		Not significant		0.36132817275589		1.12208448173071																		0.645126998143318	1.63867622238976	3.2419988739947003	0.9421513819556802	0.7583971860790659	-0.29721815471310997	2.0066743824232303	3.9463911620436094	1.5350793208657398	0.177174847379198	2.6849525588757097	1.32474948186169	-4.20379214538222	0.46581962218754297	2.4961801952366605	-4.27353603732056	1.3326265757829399	0.9160277722340431			0.39616301486307703		0.187583908889978		0.5891651913612149		0.39702675796425796	
Candidatus_Arthromitus	3.55754376245902	-0.37628642791581296	4.634039149269809	5.816810643563981	0.725721729425886	-0.0642950053038764	Not significant	Not significant	0.20312514575958798	0.48437500497190206	-2.4588863201959397	-5.38225721280305	-7.726383548956179	-5.80236957976832	-1.2002724033008998	1.3129072967622601	-6.24851912750754	-6.494885063335709	-6.42708112178512	-8.17889311517087	-1.9251822719250802	-2.71667477775673	-5.70333835963203	-1.9643450717384099	-6.068161563225121	-7.088538031236769	-8.3674582968607	-7.533531074947129	-1.32085428096572	3.0095984906171296	-2.65179476642408	-0.449115074691201	-4.41554476770909	-0.18131085904859803	-2.47249116221989	0.202079229988137	-6.700148378490191	-6.8936820506594	-6.88900935339533	-5.25118096687291	-4.15694230041507	-5.61293377673222	1.64821313133199	-1.06761557819988	-0.9170652992786931	-4.75311183520377	-5.734190235977781	-4.90895425602601	0.21826583382640302	0.8397280975415	0.0593784383963565	0.6418179621544979	0.210626704081101	0.85172625053347	0.0608075951825952	0.684128545066045
Candidatus_Saccharimonas	1.022794556224	-1.3904111785929298	4.64648842106303	4.40647750754526	0.178118466884133	-0.282264742382479	Not significant	Not significant	0.42578127412503497	0.35282656174483096	-4.54141438664763	-5.54008570389797	-7.906824255226249	-6.147821420737389	-6.999140052072951	-6.506852809988611	-5.549649829213541	-6.8720422918942905	-6.953398929488469	-4.30379970419762	-7.693759953344211	-8.54969621445003	-5.941231302986691	-3.3385569005829	-6.017723726066049	-3.90011073775315	-4.09786157801885	-2.7880873647618105	-1.60378157442493	-5.4561523251612005	-6.2497905708638095	-1.39688138582157	-6.58482749904292	-6.762048900523371	-1.2467426598004299	-6.2148370135715405	-2.62061162988529	-7.32690800173315	-5.949882760277291	-5.471943125526121	-3.00174987690261	-5.669385629809639	-5.75658447752215	-4.2945214040645405	-4.40564843056288	-4.68096568527941	-6.242307569802481	-4.60162749474452	0.70573894466011	0.6837814924257989	0.565039139818313	0.423384802390278	0.72070542072099	0.6187877844162819	0.59579933954934	0.36627209595959603
Candidatus_Stoquefichus	-0.8391483055002041	-0.729662636527929	5.3341304280826	5.33743229619862	-0.144189134813768	-0.12772473240404303	Not significant	Not significant	0.42495129136865994	0.43859651096939706	-5.8786810742135	-2.75045857183494	0.9209452345781172	-1.11633427783824	-3.4937990674399604	-0.37539149141684003	-6.63518230945518	-6.59966920291391	-6.78091903917588	-8.576375237424639	-2.31284861098616	-3.9292479936421603	-0.39724218238552295	-7.39821739165846	-0.4580149841398879	-1.7083383721458798	-7.60279280517206	-1.4186528373985703	-7.844965155872929	-6.48995655771623	-5.93436784758243	-6.84741781616902	-1.4856741031539802	-7.39320541278767	-6.575445538090559	-6.27909778454247	-6.71879387790657	-2.5521038366366096	-6.133363148637461	-0.28263086578447605	-7.2555506556448695	-5.863976126324589	-5.5685095188175895	-7.747271664122669	-6.195936292775719	-5.53643936093374	-3.93198528363223	-2.0477865677737297	0.6848752724620661	0.802789031213125	0.54979548486192	0.557565593508225	0.706529834994323	0.8786363463618441	0.5795320998446	0.7243371212121209
Caproiciproducens	-3.46381939674152		4.19184997570792		-0.8051819418204029		Not significant		0.163742884456272		-4.94610068710684																		-7.3464064500991	-5.79929439243479	-5.587147257221599	-7.179470167351741	-7.099503659783321	-8.10950235323758	-5.98929917409145	-5.7832438153417005	-6.67797604783556	-2.31963094520821	-1.45641358600327	-5.26522775235691	-1.5922993391960298	-1.1664907728381102	-5.46452557454509	-2.92438798243712	-6.631336558631481	-2.61421004190398			0.21984671807104603		0.0936842507785168		0.17064766834137599		0.0530606546231546	
Christensenellaceae.other	0.526860046202556	0.383217166315099	1.61522380912355	2.26125015633422	0.326508731297951	0.154235398203386	Not significant	Not significant	0.314453193403536	0.447265641952356	1.7741835014086202	-0.567362597549585	-0.669600471166809	1.28971225877087	-1.19197590017129	0.550492518946872	1.07033441474339	-0.101662012636479	-0.639937148239761	-3.4650251209391896	-2.10584097348396	-1.92811017908326	1.6920851584016103	-2.13262031007502	1.50942490304892	-0.8501250527997529	-0.6992306954234029	-0.45746279855581895	2.13097538370025	2.48041279174377	2.46231813819209	1.74267520391482	0.5589723993197391	0.201331241551123	2.153868050833	1.87746694159195	1.6785059487414598	-0.893985207766471	0.986882266408848	1.9688866644822902	0.547632499408507	2.116965449026	2.23090457008264	-0.18291396686873604	1.9873415986704202	1.4040837885243702	-0.275247820991591	-0.830581113796404	0.45398346387127797	0.8919645168763191	0.25254541761320004	0.7545161407171509	0.479960321248423	0.847182685307545	0.28280885780885806	0.657924193861694
Christensenellaceae_R.7_group	-0.20812076056711604		2.0335263371218897		-0.0640489542788184		Not significant		0.45224173066165		1.9794907870196203																		-7.36793652405563	1.46407159392405	2.62527691116378	2.5116662165395804	0.36588125098902896	-0.9669532353554471	2.5734593811826203	2.57144554705699	2.25154102367425	0.6596570644576539	2.1046683255931598	2.64157602339203	0.890043209495248	2.81639123842478	1.8420581585441003	1.28050347525519	2.01237572934579	1.97337081229803			0.518260591862521		0.315580958586994		0.821374772111115		0.7261242229992231	
Clostridiales.other	-1.46768349081554	-0.0503624013300152	4.53675250545725	1.29754774245852	-0.29357997815789194	-0.0379400935529951	Not significant	Not significant	0.322265689671948	0.48828125372733294	-0.674941402084227	0.3525031319833571	-0.6693312030091361	0.728602446204992	1.4638351346808	-0.7644383247764641	0.0435396291759576	1.09680000829379	0.7240549852365871	0.0394362990095507	-0.31554402770308004	0.266363168285435	1.72494673879641	0.8327720511380121	1.18915759921184	-0.0833920865146727	0.3671800177227829	-1.17508894357049	-7.46333103063405	-3.4973201196980797	-0.9156465194904359	4.01550905558753	-0.7674899430675909	0.18543429981404502	-6.47528830353917	-1.20048146427602	1.4436517407280098	0.860038917440724	-1.42879207408026	-2.09027512280489	1.28842979786666	0.229569476709741	-6.54515988107379	0.760969995322536	-1.19562397737944	0.575405062359144	0.36585831598056207	0.33566656925925503	0.6293257145584089	0.919263107077658	0.452318533405364	0.810927457641183	0.506822537291598	0.9273562916982729	0.303840083527583	0.824360188422688
Clostridiales_vadinBB60_group.other	-0.21788100958300602	-0.7657780279886041	1.44731410509887	1.28939633777166	-0.15113164378927402	-0.6060223661167751	Not significant	Not significant	0.41715402307532706	0.24561414377260202	3.03926378152422	3.9782308705343397	2.02967208675326	4.28959965148126	4.27801205771014	2.2293618329004903	4.2460032864666895	3.8726776687280697	3.42327955034779	2.47047844703402	3.82695463643485	4.3757577698605905	4.81417811297186	5.0085573231290095	4.09897717691186	3.2726659276065404	4.69481803250197	3.57829741336791	2.26866198876952	3.6762357300370803	4.45093120377559	2.10645458580868	2.51896755400182	2.5069671484113796	3.10387509898613	4.5092454471922805	3.61469100974751	3.13777811146477	3.00019382674065	4.3093760578693905	2.52114020659038	4.67857362350649	2.80383266264719	2.44622532663949	2.8417724345125	3.1114642608236895	3.6632077722504004	4.2743719430647795	0.811909286488385	0.368702713728296	0.6945524229483441	0.0655525226136904	0.737592463344308	0.41763796553729704	0.5984192890442889	0.114294386169386
Clostridium_sensu_stricto_1	11.4029926748089		3.96348509302619		2.73707007596493		Significant		0.00390865404955307		-2.62847095549744																		5.32732407171959	6.855732486175199	5.85213415744808	5.466172524218661	5.112754653493071	-2.12236696443847	3.57822878217305	2.7042152810260203	-7.2297382721934405	-7.20343652213156	-6.46242875913383	-5.6949934886986195	-7.386874338801871	-5.80951256650983	-5.87380848935619	-8.09248324605187	5.22155658959267	-6.82955996730625			0.00223813635412932		5.2729332120843105e-05		0.007807846089096091		0.000171182983682984	
DNF00809	-1.9251640793310498	-0.872888231548223	5.560825856639269	4.889224863174969	-0.30526172345551195	-0.16674423479428	Not significant	Not significant	0.346978610966909	0.421875025456736	-5.58874704718727	-6.05781362875578	-8.11666302436818	-5.9393161876439295	-2.21117778464309	-5.98659807976557	-5.52322610493812	-6.55852892565699	-6.68159723122501	-8.44936972287576	-3.34724356827641	-8.13374445005607	-1.57681107370276	-2.66044206220632	-5.617968015783569	-7.21684826237578	-8.00619179292778	-7.663066542659639	-2.68753340161602	-6.092491438263139	-5.854355290864719	-6.52308959058154	-6.8945364072250905	-7.45541420527597	-7.36415950307191	-6.193772325529451	-7.600805819268991	-7.39536938398399	-6.659222869947751	0.12464245933464502	-1.26891763942153	-5.931338270791151	-6.00064357544685	-1.4280228739608	-6.0515631859067405	-4.81422753613471	-6.248929486737009	-5.57507008997574	0.591017499463928	0.7876874926552341	0.4401095852994721	0.5460745737397871	0.595806471640552	0.783955985773887	0.44967341686091705	0.5721858003108001
Defluviitaleaceae_UCG.011	2.22409063166012	1.6309761242211598	4.674446199326691	3.46493587688933	0.6566541010003261	0.37355198631600794	Not significant	Not significant	0.19298261219779997	0.274853890594865	1.48765057084871	0.10018321002946699	0.5820923369398149	2.4468763104154103	-6.95310218082478	1.40794831811321	2.4104539926061	1.5537575909751498	1.63977488993496	-0.19885122019702597	-0.21438009031787697	-2.6975133789516605	3.68814670702236	-0.45634822245932505	-5.98619483448668	-0.0556576060808833	-0.121320285350599	-0.00728387667424446	1.6658124710436397	3.09464100264697	1.21596044464149	2.3798501288197698	2.9001442078431805	1.15943746322213	3.06269875463575	2.24898819552138	1.05279387748255	-7.04344126870596	0.588429303426601	2.19325264089865	-7.25723650576987	-0.16577774461784198	3.30867041063537	-8.51130507788491	2.32204270104214	0.316427645559393	1.4165388582554799	-0.227188223795189	0.21086313468106502	0.7833510798587471	0.0513033409260855	0.5131481219860731	0.1718283613214	0.46899580306424	0.0412393162393162	0.145942599067599
