Bin Id	Completeness	Contamination	Strain heterogeneity	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Sample
shRTF8_metabat_15	96.27	2.2	0.0	43	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	46.6170951688	3.074279	2897	0.903211452181	shRTF8
shRTF8_metabat_16	98.3	1.13	33.33	42	1	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	48.685008225699995	2.8917490000000003	2365	0.8987529692239999	shRTF8
shRTF8_metabat_17	98.16	4.75	0.0	43	0	UID1327	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	f__Peptostreptococcaceae;g__Clostridium;s__	44.24486280439999	4.696034	4443	0.862698822027	shRTF8
shRTF8_metabat_18	98.32	1.34	0.0	43	0	UID1230	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_valericigenes	58.6171419382	4.36589	4490	0.879086738328	shRTF8
shRTF8_metabat_19	99.46	0.54	0.0	43	0	UID2806	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	s__Odoribacter_splanchnicus	44.676107982299996	2.657808	2214	0.9110417306290001	shRTF8
shRTF8_metabat_20	29.31	0.0	0.0	37	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	47.0033025647	1.072397	899	0.8946565497669999	shRTF8
shRTF8_metabat_23	58.1	0.0	0.0	36	0	UID2719	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	unresolved	44.51847977560001	1.425054	1256	0.867171349296	shRTF8
shRTF8_metabat_24	88.87	0.0	0.0	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	51.515819083900006	2.455868	1988	0.9029003187469999	shRTF8
shRTF8_metabat_25	98.7	0.0	0.0	43	0	UID4182	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella	unresolved	44.2497416818	2.571973	2302	0.883356084998	shRTF8
shRTF8_metabat_29	98.3	0.38	0.0	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	55.0751096221	2.209837	1818	0.909040802557	shRTF8
shRTF8_metabat_30	97.25	1.07	25.0	42	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	51.5516379039	2.696972	2214	0.8932113496170001	shRTF8
shRTF8_metabat_32	92.29	1.72	81.82	27	11	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	54.3043415339	2.370441	1956	0.924678994331	shRTF8
shRTF8_metabat_33	88.39	2.3	0.0	43	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	38.7961947824	4.791232	4307	0.838621882639	shRTF8
shRTF8_metabat_34	95.41	3.82	36.36	39	3	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	46.1627172562	4.058221	3826	0.904927060404	shRTF8
shRTF8_metabat_35	95.06	0.94	0.0	41	1	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	51.928119088	2.417268	1986	0.926870748299	shRTF8
shRTF8_metabat_38	73.15	0.0	0.0	30	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	50.669262223000004	1.507992	1325	0.9207097915639999	shRTF8
shRTF8_metabat_39	90.89	2.35	0.0	38	0	UID1248	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	46.6610984734	3.604943	3441	0.86961707855	shRTF8
shRTF8_metabat_40	93.94	1.12	0.0	40	0	UID2809	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	64.06667454640001	1.709568	1492	0.870948099169	shRTF8
shRTF8_metabat_41	90.86	2.52	0.0	37	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	47.339995298000005	2.359509	2200	0.9156379568799999	shRTF8
shRTF8_metabat_44	84.38	0.07	0.0	27	0	UID1328	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	42.194402174699995	2.71252	2745	0.897510064442	shRTF8
shRTF8_metabat_45	64.08	0.45	0.0	27	0	UID2695	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	unresolved	42.6805614934	3.026503	2900	0.8954902737579999	shRTF8
shRTF8_metabat_49_sub	85.78	0.73	50.0	38	1	UID1248	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	37.5261377092	3.3342419999999997	3590	0.864217714251	shRTF8
shRTF8_metabat_50	88.3	1.78	20.0	40	1	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	50.574178699399994	3.6123300000000005	3487	0.883524207368	shRTF8
shRTF8_metabat_53	85.82	0.45	0.0	32	0	UID1339	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnobacterium	unresolved	44.7659081735	3.195138	3402	0.902348818736	shRTF8
shRTF8_metabat_67	38.66	0.0	0.0	26	0	UID1236	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	g__Anaerotruncus;s__Anaerotruncus_colihominis	56.8774662768	1.020266	1157	0.8675198428650001	shRTF8
shRTF2_maxbin_001_sub	84.78	0.75	0.0	43	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	46.7764535406	4.325693	3765	0.895493277031	shRTF2
shRTF2_maxbin_002	99.52	0.48	0.0	43	0	UID2809	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	60.312920808	2.105871	1736	0.852376522589	shRTF2
shRTF2_maxbin_004	99.52	0.0	0.0	43	0	UID2809	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	55.3561890203	1.8159740000000002	1546	0.919474618029	shRTF2
shRTF2_maxbin_007	98.22	0.07	0.0	43	0	UID3256	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	unresolved	43.6293479213	2.2493220000000003	2094	0.898823289862	shRTF2
shRTF2_maxbin_012	85.24	0.16	0.0	17	0	UID2809	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	64.2814609577	1.476795	1300	0.8704261593520001	shRTF2
shRTF2_maxbin_022_sub	81.65	0.63	0.0	41	0	UID1256	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	47.2672172284	4.040175	3909	0.875132141553	shRTF2
shRTF2_maxbin_029_sub	51.21	8.18	0.0	29	0	UID2690	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	unresolved	41.9243206445	3.212827	3299	0.8927122437649999	shRTF2
shRTF2_maxbin_035_sub	50.86	10.81	17.95	20	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	52.2068423015	1.695475	1645	0.919174862502	shRTF2
shRTF2_maxbin_040	81.76	3.02	8.33	42	0	UID1109	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales_2;f__Peptococcaceae	o__Clostridiales;g__Desulfonispora;s__Desulfonispora_thiosulfatigenes	50.361352386499995	1.861104	2071	0.894788254713	shRTF2
shRTF2_metabat_01	100.0	0.0	0.0	43	0	UID2806	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	s__Odoribacter_splanchnicus	43.614478122200005	2.410837	2016	0.9233855295899999	shRTF2
shRTF2_metabat_02	91.06	0.63	0.0	40	0	UID1346	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae_2;g__Clostridium_2	unresolved	51.1790390787	3.139298	2746	0.8740619718170001	shRTF2
shRTF2_metabat_04	98.4	0.64	0.0	43	0	UID2808	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	57.2581694722	2.113868	1791	0.87790060685	shRTF2
shRTF2_metabat_07	97.88	0.0	0.0	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	53.7028044921	2.576441	2115	0.9260021867370001	shRTF2
shRTF2_metabat_09	81.28	0.0	0.0	42	0	UID2722	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	unresolved	47.7258582925	2.852287	2319	0.881287892838	shRTF2
shRTF2_metabat_12	99.06	0.75	0.0	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	48.5351907413	3.004253	2467	0.899341034194	shRTF2
shRTF2_metabat_13_sub	96.44	1.76	0.0	43	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	39.5885111763	4.222861	3915	0.871291761675	shRTF2
shRTF2_metabat_14	97.92	0.63	0.0	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	50.271555830100006	2.676062	2167	0.9018348603280001	shRTF2
shRTF2_metabat_17	99.46	0.54	0.0	43	0	UID2806	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	s__Odoribacter_splanchnicus	44.6254522954	2.663769	2223	0.9096640887399999	shRTF2
shRTF2_metabat_18	98.3	0.0	0.0	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	50.507153494300006	2.950886	2475	0.900710498474	shRTF2
shRTF2_metabat_19_sub	97.59	3.16	0.0	42	1	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	45.36585690770001	5.2552080000000005	4985	0.8969618329090001	shRTF2
shRTF2_metabat_20	96.1	0.38	0.0	42	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	46.8816495729	3.0807759999999997	2626	0.913005035095	shRTF2
shRTF2_metabat_21	94.9	0.68	0.0	42	0	UID1237	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	g__Subdoligranulum;s__	58.339393020299994	2.640218	2364	0.8486871159880001	shRTF2
shRTF2_metabat_22	95.16	2.11	25.0	31	0	UID2663	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	s__Bacteroides_uniformis	46.107888797799994	3.897673	3496	0.8936683503210001	shRTF2
shRTF2_metabat_23_sub	94.62	0.63	0.0	41	0	UID1343	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae_2;g__Clostridium_2	unresolved	51.196541948100005	3.825028	3647	0.906273104406	shRTF2
shRTF2_metabat_25	96.62	2.03	0.0	43	0	UID1372	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	35.031943745	3.957126	3494	0.854548983277	shRTF2
shRTF2_metabat_26	96.93	0.0	0.0	42	0	UID4182	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella	unresolved	44.2779303001	2.500636	2302	0.8847141287260001	shRTF2
shRTF2_metabat_27	98.11	0.38	0.0	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	54.9277048363	2.2444610000000003	1853	0.909200026198	shRTF2
shRTF2_metabat_29	96.31	1.01	0.0	42	0	UID1230	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_valericigenes	60.605308931	2.991319	2825	0.872976770448	shRTF2
shRTF2_metabat_34	93.21	0.45	0.0	39	1	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	55.1975289721	2.122018	1846	0.92411185956	shRTF2
shRTF2_metabat_36_sub	91.91	2.03	40.0	35	1	UID1230	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_valericigenes	58.8814453432	3.9723	4045	0.8797548020039999	shRTF2
shRTF2_metabat_38	94.63	0.38	0.0	38	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	52.846478928100005	2.003927	1714	0.93571721924	shRTF2
shRTF2_metabat_39	92.04	1.76	33.33	37	3	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	54.2898427787	2.33034	1971	0.9228121218359999	shRTF2
shRTF2_metabat_45	87.7	0.19	0.0	17	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	52.0470889533	2.304724	2010	0.922778172137	shRTF2
shRTF2_metabat_46	92.43	0.22	50.0	27	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	47.446398642700004	2.287673	2086	0.91867500294	shRTF2
shRTF2_metabat_50	73.74	1.98	33.33	27	1	UID1231	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	58.367663516899995	2.533661	2762	0.8911172410200001	shRTF2
shRTF2_metabat_57_sub	87.15	3.3	33.33	34	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	50.5276985613	3.522522	3453	0.879311470588	shRTF2
shRTF2_metabat_58	53.14	0.67	0.0	21	0	UID1228	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_desmolans	56.4589981233	1.524937	1704	0.8558287981730001	shRTF2
shRTF2_metabat_63	66.35	0.0	0.0	36	0	UID1236	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	g__Anaerotruncus;s__Anaerotruncus_colihominis	55.7712216975	1.881057	2012	0.863641558975	shRTF2
shRTF2_metabat_65	64.14	1.02	33.33	24	0	UID1279	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	f__Peptostreptococcaceae;g__Clostridium;s__Clostridium_scindens	44.6398853947	2.336954	2738	0.8992697331649999	shRTF2
shHF7_maxbin_001_sub	98.16	2.3	0.0	42	1	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	39.1140314898	4.957237	4479	0.8656291801260001	shHF7
shHF7_maxbin_004	97.96	0.0	0.0	43	0	UID3058	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	g__Akkermansia;s__Akkermansia_muciniphila	55.6452579848	2.735888	2323	0.886493891563	shHF7
shHF7_maxbin_008	98.22	0.0	0.0	43	0	UID3256	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	unresolved	43.5883752546	2.149884	1966	0.900242524713	shHF7
shHF7_maxbin_011_sub	100.0	0.0	0.0	43	0	UID2809	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	55.0877142611	1.880866	1620	0.917019075256	shHF7
shHF7_metabat_05	98.05	0.16	0.0	43	0	UID2808	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	57.0475931804	2.122024	1796	0.8753157362970001	shHF7
shHF7_metabat_07	88.46	0.24	100.0	29	0	UID2809	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	66.1115190475	1.8196	1491	0.888933831611	shHF7
shHF7_metabat_08	98.01	0.0	0.0	41	0	UID2806	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	s__Odoribacter_splanchnicus	43.5427820869	2.388071	2004	0.9241814837160001	shHF7
shHF7_metabat_11	28.59	0.0	0.0	36	0	UID2719	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	unresolved	45.2451703101	0.7868	703	0.8681443823080001	shHF7
shHF7_metabat_12	96.23	0.38	0.0	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	55.261634427	2.171462	1817	0.922875463628	shHF7
shHF7_metabat_13	99.46	0.54	0.0	43	0	UID2806	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	s__Odoribacter_splanchnicus	44.7015466409	2.665182	2227	0.9105865940860001	shHF7
shHF7_metabat_14	99.42	0.48	0.0	43	0	UID2809	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	60.6440463537	2.0175490000000003	1647	0.853043470072	shHF7
shHF7_metabat_16	98.3	0.38	0.0	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	50.5430458239	2.928498	2458	0.8994337711689999	shHF7
shHF7_metabat_18	92.95	0.22	0.0	43	0	UID1226	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	40.4160891636	1.88332	1730	0.8776405496680001	shHF7
shHF7_metabat_22	89.06	0.4	66.67	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	50.5987093472	2.3522529999999997	1907	0.8883019811220001	shHF7
shHF7_metabat_23	97.58	0.0	0.0	43	0	UID2662	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	unresolved	46.944818819700004	3.707148	3093	0.8790207458670001	shHF7
shHF7_metabat_25	97.34	0.0	0.0	32	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	56.2902202541	2.362981	1924	0.895147273719	shHF7
shHF7_metabat_26	96.19	0.75	0.0	31	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	55.159386079399994	2.1671099999999996	1822	0.909549123026	shHF7
shHF7_metabat_27	98.26	0.75	0.0	39	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	48.9043715428	2.671023	2270	0.91750239515	shHF7
shHF7_metabat_29	97.44	1.28	50.0	38	1	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	51.6869320572	2.636686	2190	0.8970742060299999	shHF7
shHF7_metabat_30	95.66	0.38	0.0	40	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	52.794068420200006	2.034529	1697	0.933870689481	shHF7
shHF7_metabat_31	83.26	1.14	0.0	40	0	UID2142	k__Bacteria	p__Cyanobacteria	33.759034671799995	1.9337419999999998	2022	0.8844401166240001	shHF7
shHF7_metabat_32	93.9	0.57	0.0	28	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	55.871528221800006	2.377866	1898	0.903261159376	shHF7
shHF7_metabat_33	61.55	0.75	0.0	39	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	47.1108617318	2.661166	2208	0.901616058525	shHF7
shHF7_metabat_34	28.56	0.0	0.0	25	0	UID2721	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	g__Xylanibacter;s__Xylanibacter_oryzae	48.9322107909	0.980366	788	0.877453930471	shHF7
shHF7_metabat_38	89.12	1.25	0.0	41	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	46.2215347817	3.063598	3135	0.8959086668680001	shHF7
shHF7_metabat_42	85.42	1.51	0.0	37	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	47.0365849318	2.644101	2389	0.913245371489	shHF7
shHF7_metabat_44	82.28	0.66	0.0	29	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	48.5971476176	1.944877	1887	0.913827455412	shHF7
shHF7_metabat_47	72.19	1.34	0.0	36	0	UID1239	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	g__Ruminococcus	49.7243645644	2.020575	2344	0.877842198384	shHF7
shHF7_metabat_52	67.21	0.67	0.0	27	0	UID1231	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	60.781750815100004	1.8920279999999998	2197	0.887008543214	shHF7
shHF7_metabat_53	73.76	0.0	0.0	35	0	UID4182	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella	unresolved	44.4121891386	1.904989	2059	0.879904818348	shHF7
shHF7_metabat_56	37.07	0.0	0.0	9	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	54.7178807499	1.6605159999999999	1656	0.922474098413	shHF7
shHF7_metabat_60	42.12	0.56	0.0	21	0	UID2372	k__Bacteria;p__Tenericutes;c__Mollicutes	o__Erysipelotrichales;f__Erysipelotrichaceae	28.546248699899998	0.701204	864	0.905559580379	shHF7
shRTC3_maxbin_001	98.36	0.94	0.0	43	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	46.1543242225	4.730873	4110	0.894872257192	shRTC3
