# bin	classification	number of ORFs in bin	number of ORFs classification is based on	lineage	lineage scores
MAG035	classified	2777	2592	1;131567;2;1783272;1239;186801;186802;31979;1485;59619;1262830	1.00;1.00;1.00;0.84;0.83;0.78;0.78;0.53;0.53;0.52;0.50
MAG039	classified	2253	2191	1;131567;2;1783270;68336;976;200643;171549;2005473;2006847	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.97;0.97
MAG072	classified	3295	3134	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.56;0.56;0.51;0.51
MAG110	classified	2952	2701	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.71;0.70;0.61;0.61
MAG074	classified	2133	2001	1;131567;2;1783272;1239;186801;186802;541000	1.00;1.00;1.00;0.87;0.85;0.69;0.67;0.38
MAG059	classified	1571	1437	1;131567;2;1783272;1239;186801;186802;31979;1485;59619	1.00;1.00;0.99;0.98;0.97;0.94;0.94;0.92;0.92;0.46
MAG080	classified	3528	3354	1;131567;2;2323;49928;2320115	1.00;1.00;1.00;0.64;0.64;0.58
MAG037	classified	2537	2461	1;131567;2;1783270;68336;976;200643;171549;2005473	1.00;1.00;1.00;0.98;0.98;0.98;0.98;0.98;0.96
MAG096	classified	3460	3247	1;131567;2;1783272;1239;186801;186802	1.00;0.99;0.99;0.78;0.77;0.62;0.60
MAG026	classified	4011	3836	1;131567;2;1783272;1239;186801;186802;186803;186928;397291	1.00;1.00;1.00;0.93;0.93;0.91;0.91;0.86;0.80;0.74
MAG024	classified	1964	1608	1;131567;2;1783272;1239;186801;186802;31979;1485	1.00;1.00;0.99;0.95;0.93;0.87;0.87;0.82;0.82
MAG065	classified	1718	1635	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.50;0.50;0.50;0.50;0.49
MAG075	classified	3002	2759	1;131567;2;1783272;1239;186801;186802	1.00;1.00;0.99;0.58;0.57;0.46;0.46
MAG105	classified	5134	4925	1;131567;2;1783272;1239;186801;186802;186803;186928;397291	1.00;0.99;0.99;0.83;0.83;0.81;0.81;0.73;0.67;0.63
MAG084	classified	2896	2776	1;131567;2;1783272;1239	1.00;0.98;0.98;0.40;0.39
MAG130	classified	4237	4003	1;131567;2;1783272;1239;186801;186802;186803;186928;1235793	1.00;1.00;1.00;0.87;0.87;0.84;0.84;0.76;0.68;0.56
MAG133	classified	4203	3853	1;131567;2;1783272;1239;186801;186802;186806;1730;97253	1.00;1.00;1.00;0.83;0.83;0.79;0.79;0.54;0.54;0.54
MAG098	classified (1/2)	4141	3922	1;131567;2;2323;49928	1.00;1.00;1.00;0.41;0.41
MAG098	classified (2/2)	4141	3922	1;131567;2;1783272;1239	1.00;1.00;1.00;0.31;0.31
MAG044	classified	1798	1715	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;0.96;0.96;0.96;0.96;0.95;0.82;0.82
MAG132	classified	2129	1996	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.59;0.59;0.59;0.58;0.58
MAG103	classified	1550	1369	1;131567;2;1783272;1239	1.00;1.00;0.99;0.80;0.77
MAG027	classified	1978	1870	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.55;0.55;0.55;0.52;0.52
MAG050	classified	1539	1439	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;0.97;0.97;0.97;0.97;0.97;0.88;0.88
MAG071	classified	2065	1948	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.56;0.56;0.56;0.55;0.55
MAG120	classified	2679	2515	1;131567;2;1783272;1239;186801;186802;541000	1.00;0.99;0.99;0.79;0.78;0.64;0.61;0.30
MAG064	classified	3261	3100	1;131567;2;1783272;1239;186801;186802	1.00;0.99;0.99;0.79;0.79;0.71;0.71
MAG134	classified	3481	3403	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;0.96;0.96;0.96;0.96;0.96;0.90;0.90
MAG081	classified	3930	3669	1;131567;2;1783272;1239;186801;186802;216572;459786	1.00;0.99;0.99;0.84;0.83;0.69;0.69;0.44;0.39
MAG057	classified	2181	2126	1;131567;2;1783270;68336;976;200643;171549;2005473;2006847;2486473	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.96;0.96;0.91
MAG004	classified	3513	3319	1;131567;2;2323;49928	1.00;1.00;1.00;0.43;0.43
MAG138	classified	2202	2031	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.60;0.60;0.60;0.59;0.59
MAG088	classified	1842	1727	1;131567;2;1783270;68336;976;200643;171549;171552;838;2033406	1.00;1.00;1.00;0.92;0.92;0.92;0.92;0.92;0.85;0.82;0.81
MAG069	classified	3840	3471	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.44;0.43;0.38;0.37
MAG073	classified	2058	1917	1;131567;2;1783272;1239;186801;186802	1.00;1.00;0.99;0.75;0.73;0.62;0.59
MAG094	classified	4158	3929	1;131567;2;1783272;1239;186801;186802;186806;1730;97253	1.00;1.00;1.00;0.87;0.87;0.83;0.83;0.63;0.63;0.62
MAG086	classified	1755	1443	1;131567;2;1783272;1239;186801;186802	1.00;0.98;0.97;0.73;0.71;0.32;0.30
MAG007	classified	1921	1449	1;131567;2;1783272;1239	1.00;1.00;0.99;0.93;0.41
MAG078	classified	1896	1794	1;131567;2;1783272;1239;186801;186802;541000;1017280;1871015	1.00;1.00;1.00;0.88;0.87;0.76;0.74;0.41;0.35;0.34
MAG061	classified	3493	3351	1;131567;2;2323;49928;2320113	1.00;1.00;1.00;0.82;0.82;0.66
MAG128	classified	4537	4276	1;131567;2;1783272;1239;186801;186802;186803;186928;397291	1.00;1.00;1.00;0.85;0.85;0.82;0.82;0.70;0.57;0.44
MAG122	classified	1897	1744	1;131567;2;1783272;1239;186801;186802;186806;1730;84372;1262882	1.00;1.00;1.00;0.89;0.88;0.80;0.79;0.55;0.55;0.54;0.54
MAG070	classified	1196	958	1;131567;2;1783272;1239	1.00;1.00;1.00;0.95;0.46
MAG144	classified	4355	4018	1;131567;2;1783272;1239;186801;186802;186803;186928	1.00;1.00;1.00;0.77;0.77;0.73;0.72;0.59;0.30
MAG005	classified	2453	2361	1;131567;2;1783270;68336;976;200643;171549;2005473;2006847	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.96;0.96
MAG019	classified	1784	1752	1;131567;2;1783272;1239;91061	1.00;1.00;0.99;0.98;0.98;0.98
MAG010	classified	1741	1388	1;131567;2;1783272;1239	1.00;1.00;0.99;0.94;0.38
MAG058	classified	899	619	1;131567;2;1224	1.00;0.98;0.86;0.48
MAG113	classified	1962	1682	1;131567;2;1783272;1239;186801;186802;31979;1485	1.00;1.00;0.99;0.96;0.95;0.92;0.91;0.86;0.86
MAG006	classified	1604	1267	1;131567;2;1783272;1239;186801;186802;31979;1485;59619	1.00;1.00;0.99;0.95;0.93;0.86;0.86;0.80;0.80;0.64
MAG025	classified	4485	4220	1;131567;2;2323;49928;2320113	1.00;1.00;1.00;0.61;0.61;0.31
MAG095	classified	3877	3789	1;131567;2;1783272;1239;186801;186802;186803;186928;397291	1.00;1.00;1.00;0.97;0.97;0.97;0.97;0.95;0.94;0.91
MAG135	classified	3693	3440	1;131567;2;1783272;1239;186801;186802;186803;841	1.00;1.00;1.00;0.78;0.78;0.71;0.71;0.43;0.33
MAG126	classified	1802	1655	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;0.92;0.92;0.92;0.90;0.89;0.61;0.59
MAG021	classified	1878	1773	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.59;0.59;0.59;0.57;0.57
MAG060	classified	3700	3485	1;131567;2;1783272;1239;186801;186802;186803;186928;397291	1.00;1.00;1.00;0.88;0.88;0.84;0.84;0.76;0.60;0.44
MAG147	classified	3798	3681	1;131567;2;1783272;1239;186801;186802;186803;186928;397291	1.00;1.00;1.00;0.96;0.96;0.95;0.95;0.94;0.92;0.89
MAG028	classified	1815	1657	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;0.99;0.77;0.77;0.77;0.76;0.75
MAG124	classified	4034	3794	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.77;0.77;0.70;0.70
MAG111	classified	4146	3746	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.44;0.44;0.40;0.40
MAG097	classified	3132	2955	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.60;0.60;0.43;0.43
MAG046	classified	2920	2261	1;131567;2;1783272;1239;186801;186802;31979;1485	1.00;0.99;0.99;0.89;0.87;0.82;0.82;0.57;0.57
MAG062	classified	3719	3516	1;131567;2;1783272;1239;186801;186802;186803	1.00;1.00;1.00;0.88;0.88;0.80;0.80;0.43
MAG056	classified	4929	4522	1;131567;2;1783272;1239;186801;186802;186803;186928;397291	1.00;1.00;1.00;0.83;0.82;0.80;0.80;0.69;0.57;0.45
MAG090	classified	1813	1774	1;131567;2;1783270;68336;976;200643;171549;2005473;2006847	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.99;0.99
MAG141	classified	2229	1995	1;131567;2;1783272;1239;186801;186802	1.00;0.99;0.98;0.69;0.67;0.43;0.37
MAG023	classified	3600	3508	1;131567;2;2323;49928;2320099	1.00;1.00;1.00;0.92;0.92;0.86
MAG089	classified	3459	3246	1;131567;2;1783272;1239;186801;186802;216572;459786	1.00;1.00;0.99;0.82;0.82;0.69;0.68;0.50;0.44
MAG099	classified	1709	1570	1;131567;2;1224;28211;204441;41295;191	1.00;1.00;1.00;0.99;0.94;0.94;0.93;0.93
MAG067	classified	1054	876	1;131567;2;1783272;1239	1.00;0.99;0.99;0.95;0.45
MAG051	classified	3652	3542	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;0.99;0.99;0.95;0.95;0.95;0.95;0.95;0.91;0.91
MAG145	classified	2242	2138	1;131567;2;1783270;68336;976;200643;171549;2005473;2006847;2486473	1.00;1.00;1.00;0.94;0.94;0.94;0.94;0.94;0.78;0.78;0.50
MAG020	classified	3543	3306	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.43;0.42;0.38;0.38
MAG003	classified	1924	1650	1;131567;2;1783272;1239;186801;186802;31979;1485;59619	1.00;1.00;0.99;0.97;0.96;0.93;0.93;0.89;0.89;0.38
MAG119	classified	2024	1941	1;131567;2;1783270;68336;976;200643;171549;1853231;283168	1.00;1.00;1.00;0.98;0.98;0.98;0.97;0.96;0.80;0.56
MAG076	classified	2990	2773	1;131567;2;1783272;1239;186801;186802	1.00;0.99;0.99;0.61;0.60;0.54;0.54
MAG018	classified	1947	1776	1;131567;2	1.00;1.00;1.00
MAG077	classified	3215	2986	1;131567;2;1783272;1239;186801;186802;216572;459786	1.00;1.00;0.99;0.86;0.86;0.76;0.75;0.54;0.47
MAG125	classified	3697	3518	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.58;0.58;0.54;0.53
MAG066	classified	2275	2169	1;131567;2;1783272;1239;186801;186802;541000	1.00;1.00;1.00;0.92;0.92;0.86;0.86;0.76
MAG093	classified	1865	1754	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.52;0.52;0.52;0.51;0.51
MAG082	classified	2322	2129	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.59;0.58;0.58;0.57;0.57
MAG033	classified	1730	1416	1;131567;2;1783272;1239	1.00;1.00;0.99;0.70;0.67
MAG121	classified	3504	3205	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.43;0.42;0.38;0.38
MAG087	classified	2063	1671	1;131567;2;1783272	1.00;1.00;0.99;0.46
MAG053	classified	1823	1509	1;131567;2;1783272;1239;186801;186802;31979;1485	1.00;1.00;0.99;0.93;0.92;0.86;0.86;0.80;0.79
MAG106	classified	3187	3133	1;131567;2;1783272;1239;186801;186802;186803;186928;1235793	1.00;1.00;1.00;0.95;0.95;0.95;0.94;0.93;0.90;0.87
MAG045	classified	3814	3426	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.68;0.67;0.56;0.56
MAG042	classified	1926	1814	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.60;0.60;0.60;0.59;0.59
MAG012	classified	3057	2910	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;0.99;0.99;0.73;0.73;0.73;0.73;0.72;0.63;0.62
MAG136	classified	1697	1649	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;0.96;0.96;0.96;0.95;0.95;0.76;0.75
MAG002	classified	2235	2099	1;131567;2;1783270;68336;976;200643;171549;1853231	1.00;1.00;1.00;0.97;0.97;0.97;0.96;0.96;0.69
MAG030	classified	3462	3366	1;131567;2;1783272;1239;186801;186802;186803;186928;1235800	1.00;1.00;1.00;0.92;0.92;0.91;0.91;0.87;0.85;0.81
MAG017	classified	860	575	1;131567;2;1224	1.00;0.99;0.87;0.50
MAG032	classified	3137	2863	1;131567;2;1783272;1239	1.00;1.00;1.00;0.41;0.41
MAG055	classified	2833	2546	1;131567;2;1783272;1239;186801;186802	1.00;1.00;0.99;0.82;0.82;0.77;0.77
MAG015	classified	3042	2891	1;131567;2;1783272;1239	1.00;1.00;1.00;0.46;0.46
MAG052	classified	4042	3860	1;131567;2;1783270;68336;976;200643;171549;2005473;2006847;2486461	1.00;1.00;1.00;0.97;0.97;0.97;0.96;0.96;0.92;0.92;0.86
MAG146	classified	3012	2852	1;131567;2;1783272;1239;186801;186802	1.00;1.00;0.99;0.47;0.47;0.34;0.34
MAG016	classified	1389	1159	1;131567;2;1783272;1239	1.00;1.00;0.98;0.69;0.65
MAG043	classified	2783	2601	1;131567;2;1783272;1239;186801;186802	1.00;1.00;0.99;0.77;0.76;0.36;0.34
MAG109	classified	2389	2189	1;131567;2;1783272;1239;186801;186802;541000;1263	1.00;1.00;1.00;0.92;0.92;0.87;0.87;0.70;0.69
MAG036	classified	2018	1875	1;131567;2;1783270;68336;976;200643;171549;2005473;2006847	1.00;1.00;1.00;0.87;0.86;0.86;0.85;0.85;0.54;0.53
MAG022	classified	3407	3293	1;131567;2;1783270;68336;976;200643;171549	1.00;0.97;0.97;0.32;0.32;0.32;0.32;0.32
MAG038	classified	3162	3074	1;131567;2;1783272;1239;186801;186802;186803;186928;397290	1.00;1.00;1.00;0.98;0.98;0.97;0.97;0.90;0.84;0.81
MAG108	classified	1180	1043	1;131567;2;1783272;1239	1.00;1.00;0.99;0.85;0.81
MAG013	classified	4134	3991	1;131567;2;1783272;1239;186801;186802;186803;186928;397291	1.00;1.00;1.00;0.98;0.97;0.97;0.97;0.94;0.91;0.88
MAG129	classified	3314	3164	1;131567;2;2323;49928	1.00;1.00;1.00;0.31;0.30
MAG091	classified	4129	3861	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.76;0.75;0.70;0.69
MAG008	classified	4123	3871	1;131567;2;1783272;1239;186801;186802;186803;186928	1.00;1.00;1.00;0.80;0.80;0.76;0.76;0.67;0.47
MAG137	classified	1793	1707	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;0.91;0.91;0.91;0.89;0.89;0.78;0.77
MAG118	classified	3027	2701	1;131567;2;1783272;1239;186801;186802;186806;1730;84372	1.00;0.99;0.99;0.89;0.88;0.83;0.82;0.55;0.55;0.55
MAG117	classified	1908	1764	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.58;0.57;0.57;0.56;0.56
MAG142	classified	3838	3565	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.54;0.54;0.49;0.49
MAG114	classified	3419	3172	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.52;0.51;0.30;0.30
MAG102	classified	3166	3015	1;131567;2	1.00;1.00;1.00
MAG104	classified	2287	2243	1;131567;2;1224;28216;80840	1.00;1.00;1.00;1.00;0.98;0.98
MAG107	classified	4051	3650	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.42;0.41;0.32;0.32
MAG040	classified	5226	5134	1;131567;2;1783270;68336;976;200643;171549;2005525;375288	1.00;1.00;1.00;1.00;1.00;1.00;0.99;0.99;0.93;0.93
MAG063	classified	2473	2381	1;131567;2;1783272;1239	1.00;0.99;0.99;0.38;0.37
MAG143	classified	3864	3541	1;131567;2;1783272;1239;186801;186802	1.00;0.99;0.99;0.75;0.74;0.43;0.40
MAG123	classified	3936	3685	1;131567;2;2323;49928	1.00;1.00;1.00;0.81;0.81
