Group	OVA_t-RT	OVA_t-RT	OVA_t-RT	OVA_t-RT	OVA_t-RT	OVA_t-RT	OVA_t-H	OVA_t-H	OVA_t-H	OVA_t-H	OVA_t-H	OVA_t-H	median_diff	P_values	P Benjamini-Hochberg	Description	log2FC
Christensenellaceae	10.0	0.0010704132567454956	0.0005257280211700745	0.0008102204019423502	0.0009032397837663746	0.001317601286397848	9.0	0.0008782181776418376	0.00034016538423917224	0.000660114419832771	0.00074070155018253	0.000978848050399635	-0.0001625382335838446	0.4142161782425261	0.675826396079911	Christensenellaceae	-0.28420925955822973
Clostridiaceae_1	10.0	0.0007701220996233417	0.0013234332811380388	0.00011632083244524498	0.0001448438887734392	0.0006403867282192451	9.0	0.0022299305433968702	0.002943306664581427	0.0005731619138317197	0.0010624931486056886	0.0017425229573544492	0.0009176492598322494	0.17771929702657813	0.570067684959595	Clostridiaceae_1	2.8263573568924443
Clostridiales other	10.0	0.0004925457761977123	0.0007231767200991202	8.598247072902955e-05	0.00029545895029722976	0.00048815951953448076	9.0	0.0023686019622470027	0.005707579997862832	0.0001251159162164947	0.00018208579275602021	0.000309683308069695	-0.00011337315754120954	0.9349253116420776	0.9349253116420776	Clostridiales other	-0.6812407984684565
Clostridiales_vadinBB60_group	10.0	0.0011793774165603662	0.0008081920493243716	0.0005247364397327253	0.0009277000735203667	0.0016053309807217237	9.0	0.0015708233211209719	0.0010612888425711282	0.0009828752882470797	0.001150300788111486	0.002351542256770667	0.00022260071459111923	0.36910759043756325	0.63568529464247	Clostridiales_vadinBB60_group	0.30855467761087674
Desulfovibrionaceae	10.0	0.041072021533133614	0.031796402600010855	0.01750870103444211	0.030194283345993177	0.06769837455286204	9.0	0.025906604113332662	0.024626359540535606	0.005852101436424898	0.01497711114709216	0.03959210955837777	-0.015217172198901018	0.22067136191984324	0.570067684959595	Desulfovibrionaceae	-1.0112361233442178
Eggerthellaceae	10.0	0.00012989472090979993	0.00015102524964057302	4.476985428900735e-05	7.719017437711358e-05	0.00016264191418665608	9.0	0.00012294346972503773	0.00010957996535960747	0.0	0.00013212914458037337	0.00019871351399090333	5.4938970203259794e-05	0.7740851352933925	0.9349253116420776	Eggerthellaceae	0.7331369909794336
Erysipelotrichaceae	10.0	0.0149295069765909	0.005368836721153247	0.012298169361462611	0.014657241353970268	0.015202841894309784	9.0	0.009719609053224117	0.005186682853758404	0.004422938797111859	0.009445091251146905	0.014616482917997557	-0.005212150102823363	0.12081938653567048	0.570067684959595	Erysipelotrichaceae	-0.633663821064915
Family_XIII	10.0	0.00047502966941582417	0.00014442851799512964	0.0003619178901288991	0.0004131842273951504	0.000626454165040059	9.0	0.0005682784274369173	0.0002897500954593747	0.0003342090127621209	0.000529721448013952	0.0006182198213050326	0.00011653722061880166	0.8702827722810258	0.9349253116420776	Family_XIII	0.3540724515144742
Gastranaerophilales other	10.0	0.010345730303419119	0.008275756631741822	0.004581044000394009	0.007663578231650047	0.014828663606917019	9.0	0.0025992103946174106	0.0037288205233670145	0.00048498315785760896	0.000724766185802293	0.003109288171473935	-0.006938812045847754	0.008980671241898816	0.13920040424943164	Gastranaerophilales other	-3.392080028065596
Lachnospiraceae	10.0	0.05275069451746117	0.03435806762626169	0.02686380761323575	0.044756172238311624	0.08062160234229136	9.0	0.05423533360494923	0.041084317279867104	0.03066051657404987	0.05093091361546515	0.05418849388319784	0.006174741377153528	0.6242061147664044	0.8795631617162972	Lachnospiraceae	0.18643240300510122
Lactobacillaceae	10.0	0.0017554329857605738	0.001483888947255635	0.0009674366379080735	0.0013969312414198127	0.0017708803061734556	9.0	0.0047799721105075375	0.003818400075758876	0.0024099346009904357	0.0042183208655144685	0.004399123284264196	0.002821389624094656	0.0025191028453422086	0.07809218820560847	Lactobacillaceae	1.5904345237197957
Marinifilaceae	10.0	0.016781043820732526	0.006305411991026401	0.012161264581996883	0.01794475727070785	0.021408660052699098	9.0	0.01705681096949443	0.008267884646542533	0.012256921235485226	0.01318868952117403	0.02278348481859703	-0.004756067749533821	0.8702827722810258	0.9349253116420776	Marinifilaceae	-0.4440940262090489
Mollicutes_RF39 other	10.0	0.007800540384266638	0.002658431958791963	0.006918625989938648	0.00740035054532907	0.009112884421396204	9.0	0.006921664792322134	0.006291827276774558	0.0027280782204535917	0.004585130341345658	0.007808895041351648	-0.002815220203983412	0.22067136191984324	0.570067684959595	Mollicutes_RF39 other	-0.6899411639021968
Muribaculaceae	10.0	0.5399679500915909	0.0383081187221187	0.5040817024945106	0.5324877729531639	0.5763752066887822	9.0	0.5314114397252738	0.09082030775556495	0.480294362133881	0.5525059454087247	0.5829056663668589	0.020018172455560812	0.8702827722810258	0.9349253116420776	Muribaculaceae	0.05324102456428237
Pasteurellaceae	10.0	8.676926474880298e-06	2.7438850750437533e-05	0.0	0.0	0.0	9.0	1.6607408676601897e-05	3.2959197387534697e-05	0.0	0.0	0.0	0.0	0.5629832076949461	0.8310704494544443	Pasteurellaceae	0.0
Peptococcaceae	10.0	0.0015595773062222283	0.0011016315326755671	0.0007948632202086326	0.0013262871455586031	0.0018954368370241808	9.0	0.0008056945527186541	0.0006318635131571435	0.0004400406658270488	0.0005114367846498422	0.0010023959708571708	-0.000814850360908761	0.12081938653567048	0.570067684959595	Peptococcaceae	-1.3648463958037151
Peptostreptococcaceae	10.0	0.0006658543454528863	0.00038090125588197734	0.0004100387777955551	0.0005688233463554682	0.0008255248996327808	9.0	0.0006570739548314559	0.0004144014520205272	0.00041635504290770027	0.0006389095942924076	0.0010026270382863627	7.008624793693945e-05	0.9349253116420776	0.9349253116420776	Peptostreptococcaceae	0.16604159639486404
Prevotellaceae	10.0	0.041478745799828076	0.021174777993537022	0.026987736800384465	0.0349227264531383	0.05559684077558068	9.0	0.04963365388624503	0.02476582096029282	0.031780945422890984	0.04368027388712275	0.05814507168932861	0.00875754743398445	0.5136291133931261	0.7961251257593455	Prevotellaceae	0.322767940280996
Rhodospirillales other	10.0	0.0021676619407079434	0.0019311264884671819	0.0008953702499795971	0.0014042744423795575	0.00308151474192023	9.0	0.0014569479559087212	0.0018515593966136703	0.0003419813153844958	0.0006402991006373552	0.0013107473573020193	-0.0007639753417422023	0.14164469029513227	0.570067684959595	Rhodospirillales other	-1.1259827521897012
Rikenellaceae	10.0	0.0756656211455113	0.023056246748668924	0.05727223329390886	0.07559347729629232	0.08302518490758651	9.0	0.06668839373116013	0.022952930077060157	0.05011152754806306	0.06362097243532089	0.07692420919381192	-0.011972504860971428	0.36910759043756325	0.63568529464247	Rikenellaceae	-0.24873861742981962
Ruminococcaceae	10.0	0.06969647024586925	0.01668317175450891	0.06117282287494747	0.07309471653314731	0.08041403855944024	9.0	0.05998741094185262	0.016449996916307	0.04970183451436202	0.06660909658665967	0.07172460010934166	-0.006485619946487636	0.1914184252376039	0.570067684959595	Ruminococcaceae	-0.1340368296278096
Tannerellaceae	10.0	0.004800756689966752	0.004051148186948005	0.001225816125300309	0.004351101921326047	0.0064721786600866115	9.0	0.006136231665668661	0.005273290561894992	0.001225684708040139	0.004445928106459493	0.009753502394041496	9.482618513344601e-05	0.6830913983096043	0.9206884064172928	Tannerellaceae	0.03106307061087321
