	A2	ASF356	Acetatifactor	Akkermansia	Alistipes	Alloprevotella	Anaeroplasma	Anaerosporobacter	Anaerotruncus	Anaerovorax	Angelakisella	Bacteria other	Bacteroides	Bifidobacterium	Bilophila	Butyricicoccus	Butyrivibrio	Caldicoprobacter	Candidatus_Arthromitus	Candidatus_Saccharimonas	Candidatus_Stoquefichus	Caproiciproducens	Christensenellaceae other	Christensenellaceae_R-7_group	Clostridiales other	Clostridiales_vadinBB60_group other	Clostridium_sensu_stricto_1	DNF00809	Defluviitaleaceae_UCG-011	Desulfovibrionaceae other	Dubosiella	Eggerthellaceae other	Eisenbergiella	Enterorhabdus	Erysipelatoclostridium	Erysipelotrichaceae other	Escherichia/Shigella	Faecalibaculum	Family_XIII other	Family_XIII_AD3011_group	Family_XIII_UCG-001	Flavonifractor	GCA-900066225	GCA-900066575	Gastranaerophilales other	Harryflintia	Herbinix	Hydrogenoanaerobacterium	Intestinimonas	Lachnoclostridium	Lachnospiraceae other	Lachnospiraceae_FCS020_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG-001	Lachnospiraceae_UCG-002	Lachnospiraceae_UCG-004	Lachnospiraceae_UCG-006	Lachnospiraceae_UCG-010	Lactobacillus	Marvinbryantia	Mollicutes_RF39 other	Mucispirillum	Muribaculaceae other	Muribaculum	Odoribacter	Olsenella	Oscillibacter	Parabacteroides	Parasutterella	Peptococcaceae other	Phocea	Prevotellaceae_UCG-001	Rhodospirillales other	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminiclostridium	Ruminiclostridium_5	Ruminiclostridium_6	Ruminiclostridium_9	Ruminococcaceae other	Ruminococcaceae_NK4A214_group	Ruminococcaceae_UCG-002	Ruminococcaceae_UCG-003	Ruminococcaceae_UCG-005	Ruminococcaceae_UCG-009	Ruminococcaceae_UCG-010	Ruminococcaceae_UCG-013	Ruminococcaceae_UCG-014	Ruminococcus_1	Shuttleworthia	Turicibacter	Tyzzerella	Tyzzerella_3	UBA1819	UC5-1-2E3
B182	37	83	35	8410	5567	2789	0	0	62	4	0	0	764	177	6	55	0	35	3	0	3	18	34	10	3	319	0	0	90	687	4330	0	3	13	101	0	7	28	21	18	0	0	25	206	774	40	329	0	162	259	2146	0	2961	682	0	5	0	2	903	0	257	0	20879	882	1026	0	244	1046	1871	37	0	994	799	216	0	192	266	91	278	517	732	0	0	23	55	26	151	82	1278	891	0	0	0	29	56	0
B183	9	44	66	4225	2425	1876	0	0	103	3	0	0	520	121	4	17	0	17	0	0	7	0	2	22	12	308	0	6	0	1382	2521	0	13	0	38	0	0	34	0	22	0	0	13	142	87	38	62	0	99	174	562	0	2564	6	0	11	0	1	399	0	50	0	11854	593	974	0	153	104	1004	18	0	269	78	68	0	136	172	38	0	421	351	12	0	26	16	24	82	65	309	135	0	0	0	8	9	11
B184	22	38	238	1998	11290	16699	0	0	230	4	0	0	3502	0	16	67	12	79	0	4	0	0	87	129	72	330	0	0	54	809	166	0	0	10	184	94	0	69	30	42	10	0	35	151	1723	55	0	0	351	252	1517	13	2348	226	0	12	18	0	493	12	2021	0	51391	1926	728	0	334	306	1697	42	0	1646	1180	203	0	329	415	95	111	640	343	92	0	34	165	90	603	41	5506	305	0	0	1	16	115	0
B185	157	39	413	710	5963	8548	0	9	555	34	0	0	1971	0	36	168	50	41	0	0	6	7	19	58	65	317	0	0	0	1958	89	0	0	4	134	111	0	23	29	46	4	8	81	385	702	92	27	44	596	374	2232	31	5474	245	0	13	37	17	421	0	1030	0	31057	1209	570	0	621	160	988	132	0	698	408	76	0	809	896	228	398	916	323	75	0	101	132	206	249	43	3314	93	0	0	7	19	272	0
B186	0	24	98	4928	2714	3369	38	0	122	0	26	2	1570	0	7	75	0	120	0	0	0	6	36	80	6	152	0	0	27	885	283	0	0	0	80	49	0	223	1	6	7	0	13	136	153	0	13	29	137	259	900	90	2005	98	0	12	16	3	434	0	177	0	34317	1574	814	20	115	197	2244	42	0	1022	346	99	0	207	123	64	3	285	496	21	0	56	40	80	147	33	1087	83	0	0	4	0	57	7
B187	3	18	14	6777	2341	3698	31	0	79	3	0	0	1631	0	0	0	0	22	0	0	7	0	36	56	2	182	0	10	41	407	533	0	0	0	169	117	11	527	31	13	0	0	0	79	344	0	0	0	55	60	422	36	1243	72	0	0	0	0	394	0	117	0	32999	2187	980	7	66	230	3323	16	0	754	145	105	0	74	20	10	1	129	229	0	0	21	34	22	168	25	655	9	0	0	0	0	15	0
B188	53	335	296	154	5456	4105	0	0	309	14	42	0	2504	0	58	466	84	2	2	5	0	13	60	72	97	227	0	16	0	2295	58	0	5	17	17	105	0	10	17	17	22	5	49	163	628	59	63	0	798	1175	3185	150	3670	566	0	58	95	0	206	0	180	0	25786	1109	1036	0	576	176	546	112	0	595	65	46	0	2618	1353	692	82	1300	575	33	16	365	102	100	95	31	1504	56	0	0	34	17	1122	73
B189	8	17	81	345	2995	4612	0	0	64	0	0	0	1757	0	10	98	0	16	0	0	0	5	51	84	14	311	0	0	11	970	54	0	0	14	55	29	0	0	9	6	0	0	5	111	191	0	0	31	149	490	755	89	3769	69	0	17	6	0	171	0	25	0	35749	1509	1486	0	234	160	1010	43	0	941	67	422	0	271	208	57	0	399	293	20	0	57	42	81	214	10	677	45	0	0	9	0	49	7
B190	0	41	32	4440	4018	4907	0	0	60	0	0	0	1670	0	0	23	0	77	43	0	0	0	65	49	0	96	0	0	138	560	604	0	2	8	240	19	0	131	62	31	0	0	10	142	594	40	0	0	170	97	922	3	787	189	0	0	16	4	637	6	683	0	37527	1071	972	0	137	191	1793	16	0	1768	1875	55	0	107	102	93	60	649	219	31	0	10	13	32	121	51	2638	164	0	0	0	0	22	0
B191	72	491	391	264	8317	5990	0	0	506	28	0	0	3532	0	116	561	98	3	29	3	0	8	55	146	102	335	0	22	0	2903	93	14	6	21	39	175	0	10	39	36	31	32	63	227	897	60	46	0	1102	1351	4113	167	4671	772	0	76	100	17	253	0	356	0	37543	1517	1489	8	751	272	804	156	24	1006	119	93	0	2938	1819	928	97	1926	770	63	36	488	205	198	197	29	2167	94	0	0	37	21	1207	87
