Group	OVA-R	OVA-R	OVA-R	OVA-R	OVA-R	OVA-R	OVA-H	OVA-H	OVA-H	OVA-H	OVA-H	OVA-H	median_diff	P_values	P Benjamini-Hochberg	Description	log2FC
Mollicutes_RF39 other	8.0	0.009824751840633892	0.0044605575339721985	0.006938188499976264	0.00898920125664577	0.011876284584625092	8.0	0.007324495472353741	0.0022793443269368448	0.005956148937983318	0.006892877416087234	0.008758480432547011	-0.0020963238405585357	0.17216723606659268	0.313952018709669	Mollicutes_RF39 other	-0.38280524457866427
Muribaculaceae	8.0	0.45814144803906814	0.09759627429424116	0.37478665844174386	0.4606291669733568	0.5322328501473528	8.0	0.33796828903591203	0.07616436455672448	0.29669272877936603	0.33369404238265754	0.37636832467790937	-0.12693512459069928	0.0157143497722189	0.06089310536734823	Muribaculaceae	-0.4650729639240929
Pasteurellaceae	8.0	2.290481428546381e-05	3.2068489058638495e-05	0.0	0.0	5.3443335537507206e-05	8.0	1.691267065927391e-05	2.8280038845308064e-05	0.0	0.0	2.2604306883519237e-05	0.0	0.8563545879338058	0.8848997408649327	Pasteurellaceae	0.0
Peptococcaceae	8.0	0.0015886267634852877	0.0008416576501417871	0.0007018834047117971	0.001933447712450569	0.0022428996449934684	8.0	0.001205049445624115	0.0005757400919180359	0.0009055446927990843	0.0010943001559419112	0.0013275363820442582	-0.0008391475565086579	0.4008141693829329	0.5402277935161269	Peptococcaceae	-0.8178804206322337
Peptostreptococcaceae	8.0	0.001095795281541478	0.0005283999152231603	0.0006894986917770484	0.0010371704646880817	0.0014359511402513075	8.0	0.0016298358477520264	0.0005963365367658395	0.0011927321497375183	0.0016914617686440657	0.0018643637448625208	0.0006542913039559841	0.11518373151505139	0.2550496912118995	Peptostreptococcaceae	0.7025278847912428
Prevotellaceae	8.0	0.06352178685159318	0.029962317156085896	0.04568258173328897	0.06741975458860207	0.07035562696092167	8.0	0.052855697291362747	0.010419772155163298	0.04843542667477785	0.056696853521530394	0.05978643660623793	-0.010722901067071675	0.2479958148314818	0.40462475051452296	Prevotellaceae	-0.249879361976324
Rhodospirillales other	8.0	0.0056332468889129265	0.0025389443354598947	0.0033495437321877436	0.005706792000122408	0.007255431490669654	8.0	0.0050915116494654284	0.002489740072303734	0.00395878183884869	0.004538518766515517	0.005084648076969335	-0.0011682732336068908	0.6744240722352912	0.7743387496034825	Rhodospirillales other	-0.3300835386876848
Rikenellaceae	8.0	0.0863334872047462	0.01998152910086321	0.06956529537018562	0.08254213984528944	0.09952126877042775	8.0	0.10277634250219324	0.021605339607315872	0.08913000087591746	0.1011009916769702	0.11195150664537273	0.018558851831680767	0.141482121482789	0.29239638439776394	Rikenellaceae	0.2925758986945146
Ruminococcaceae	8.0	0.07008707009027734	0.021686776617564546	0.05409250393108308	0.06929813337405036	0.0803245511295608	8.0	0.07630927435052719	0.016623826498094612	0.062323061442587945	0.07571162301477186	0.08882671856994345	0.006413489640721498	0.4622499461255404	0.597072847078823	Ruminococcaceae	0.1276881319300025
Tannerellaceae	8.0	0.007041572284596673	0.006375035218007458	0.0026422645266128584	0.003612609789385721	0.011758270339285368	8.0	0.01021622495963895	0.004837075144139113	0.006665666210252015	0.009477749721071202	0.012617983126809867	0.005865139931685481	0.07420341132975534	0.17694659624787812	Tannerellaceae	1.3900792681163319
