Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
MAG049	p__Bacteroidetes (UID2605)	350	314	208	21	291	2	0	0	0	98.08	0.96	50.00
MAG050	p__Bacteroidetes (UID2605)	350	314	208	6	307	1	0	0	0	98.05	0.02	100.00
MAG051	o__Bacteroidales (UID2657)	160	492	269	40	441	10	1	0	0	93.34	2.40	61.54
MAG052	o__Bacteroidales (UID2617)	213	406	265	6	397	3	0	0	0	98.36	0.94	0.00
MAG053	o__Clostridiales (UID1212)	172	263	149	39	221	3	0	0	0	81.53	1.23	0.00
MAG054	f__Lachnospiraceae (UID1255)	90	354	174	41	302	11	0	0	0	93.04	1.83	9.09
MAG055	o__Clostridiales (UID1212)	172	263	149	69	192	2	0	0	0	78.33	1.34	0.00
MAG056	f__Lachnospiraceae (UID1255)	90	354	174	5	343	6	0	0	0	98.16	2.59	0.00
MAG057	o__Bacteroidales (UID2617)	213	406	265	20	385	1	0	0	0	96.61	0.38	0.00
MAG058	k__Bacteria (UID2495)	2993	147	91	12	135	0	0	0	0	86.81	0.00	0.00
MAG059	o__Clostridiales (UID1212)	172	263	149	50	212	0	0	0	1	75.73	3.36	0.00
MAG060	f__Lachnospiraceae (UID1255)	90	354	174	16	335	3	0	0	0	93.56	1.34	33.33
MAG061	f__Lachnospiraceae (UID1255)	90	354	174	7	346	1	0	0	0	97.70	0.57	0.00
MAG062	f__Lachnospiraceae (UID1256)	33	333	171	41	282	10	0	0	0	89.25	2.40	40.00
MAG063	o__Clostridiales (UID1212)	172	257	149	51	203	3	0	0	0	85.46	1.17	33.33
MAG064	o__Clostridiales (UID1226)	155	278	158	7	268	3	0	0	0	96.20	1.11	0.00
MAG065	o__Bacteroidales (UID2617)	213	406	265	14	391	1	0	0	0	97.15	0.38	0.00
MAG066	o__Clostridiales (UID1212)	172	261	147	4	257	0	0	0	0	97.28	0.00	0.00
MAG067	k__Bacteria (UID2329)	174	149	89	24	125	0	0	0	0	82.04	0.00	0.00
MAG068	o__Clostridiales (UID1226)	155	278	158	66	211	1	0	0	0	76.76	0.63	0.00
MAG069	o__Clostridiales (UID1212)	172	261	148	6	255	0	0	0	0	96.62	0.00	0.00
MAG070	k__Bacteria (UID2329)	174	149	89	26	122	1	0	0	0	77.43	0.56	0.00
MAG071	o__Bacteroidales (UID2617)	213	406	265	7	399	0	0	0	0	97.92	0.00	0.00
MAG072	o__Clostridiales (UID1226)	155	278	158	3	273	2	0	0	0	98.10	0.79	0.00
MAG073	o__Clostridiales (UID1212)	172	263	149	2	261	0	0	0	0	98.66	0.00	0.00
MAG074	o__Clostridiales (UID1212)	172	257	149	26	228	3	0	0	0	93.87	1.01	66.67
MAG075	o__Clostridiales (UID1212)	172	263	149	3	259	1	0	0	0	98.66	0.67	0.00
MAG076	o__Clostridiales (UID1212)	172	263	149	5	257	1	0	0	0	97.32	0.13	0.00
MAG077	o__Clostridiales (UID1212)	172	263	149	33	230	0	0	0	0	93.36	0.00	0.00
MAG078	o__Clostridiales (UID1212)	172	257	149	19	237	1	0	0	0	93.51	0.02	100.00
MAG079	o__Bacteroidales (UID2617)	213	406	265	5	398	3	0	0	0	98.30	0.75	0.00
MAG080	f__Lachnospiraceae (UID1255)	90	354	174	16	337	1	0	0	0	93.66	0.10	0.00
MAG081	o__Clostridiales (UID1212)	172	263	149	11	242	10	0	0	0	96.94	4.38	20.00
MAG082	o__Bacteroidales (UID2617)	213	406	265	22	383	1	0	0	0	96.71	0.13	0.00
MAG083	o__Bacteroidales (UID2716)	92	487	270	2	485	0	0	0	0	99.44	0.00	0.00
MAG084	o__Clostridiales (UID1212)	172	257	149	11	242	4	0	0	0	93.49	2.68	0.00
MAG085	o__Clostridiales (UID1212)	172	263	149	52	204	7	0	0	0	77.09	0.65	0.00
MAG086	c__Clostridia (UID1118)	387	223	124	7	216	0	0	0	0	95.16	0.00	0.00
MAG087	k__Bacteria (UID1453)	901	171	117	10	159	2	0	0	0	92.31	1.14	0.00
MAG088	o__Bacteroidales (UID2657)	160	492	269	98	393	1	0	0	0	76.46	0.37	0.00
MAG089	o__Clostridiales (UID1212)	172	263	149	2	259	2	0	0	0	98.99	1.34	0.00
MAG090	o__Bacteroidales (UID2617)	213	406	265	7	398	1	0	0	0	98.30	0.38	0.00
MAG091	o__Clostridiales (UID1226)	155	278	158	17	258	3	0	0	0	92.41	1.29	33.33
MAG092	c__Clostridia (UID1118)	387	223	124	13	210	0	0	0	0	91.94	0.00	0.00
MAG093	o__Bacteroidales (UID2617)	213	406	265	79	324	3	0	0	0	82.28	0.66	0.00
MAG094	f__Lachnospiraceae (UID1255)	90	354	174	5	344	5	0	0	0	98.16	1.87	0.00
MAG095	f__Lachnospiraceae (UID1255)	90	354	174	30	316	8	0	0	0	93.04	3.26	12.50
MAG096	o__Clostridiales (UID1212)	172	257	149	6	250	1	0	0	0	97.61	0.67	0.00
MAG097	f__Lachnospiraceae (UID1255)	90	354	174	4	348	2	0	0	0	98.64	1.15	0.00
MAG098	f__Lachnospiraceae (UID1255)	90	354	174	16	334	4	0	0	0	94.13	1.53	0.00
MAG099	k__Bacteria (UID2565)	2921	152	93	5	147	0	0	0	0	95.70	0.00	0.00
MAG100	f__Lachnospiraceae (UID1255)	90	354	174	39	314	1	0	0	0	89.08	0.57	0.00
MAG101	o__Clostridiales (UID1226)	155	278	158	10	266	2	0	0	0	96.12	1.27	0.00
MAG102	o__Clostridiales (UID1226)	155	278	158	2	275	1	0	0	0	98.73	0.63	0.00
MAG103	c__Clostridia (UID1118)	387	223	124	10	209	4	0	0	0	94.35	1.84	0.00
MAG104	p__Proteobacteria (UID3887)	1487	256	160	2	254	0	0	0	0	98.75	0.00	0.00
MAG105	f__Lachnospiraceae (UID1255)	90	354	174	25	325	4	0	0	0	92.70	2.01	0.00
MAG106	f__Lachnospiraceae (UID1255)	90	354	174	31	319	4	0	0	0	94.37	1.81	0.00
MAG107	f__Lachnospiraceae (UID1255)	90	354	174	40	306	8	0	0	0	87.20	3.74	0.00
MAG108	c__Clostridia (UID1118)	387	223	124	25	197	1	0	0	0	87.10	0.03	0.00
MAG109	o__Clostridiales (UID1212)	172	263	149	1	262	0	0	0	0	99.33	0.00	0.00
MAG110	o__Clostridiales (UID1212)	172	263	149	17	243	3	0	0	0	94.18	2.01	0.00
MAG111	o__Clostridiales (UID1212)	172	261	148	3	257	1	0	0	0	98.65	0.68	0.00
MAG112	o__Bacteroidales (UID2617)	213	406	265	13	392	1	0	0	0	98.22	0.38	0.00
MAG113	o__Clostridiales (UID1212)	172	263	149	37	224	2	0	0	0	81.70	0.89	0.00
MAG114	f__Lachnospiraceae (UID1255)	90	354	174	12	337	5	0	0	0	94.95	2.11	0.00
MAG115	f__Lachnospiraceae (UID1286)	57	420	207	46	368	6	0	0	0	88.72	2.16	0.00
MAG116	f__Lachnospiraceae (UID1255)	90	354	174	4	340	10	0	0	0	98.28	2.35	10.00
MAG117	o__Bacteroidales (UID2617)	213	406	265	40	364	2	0	0	0	93.90	0.57	0.00
MAG118	o__Clostridiales (UID1212)	172	263	149	5	257	1	0	0	0	97.82	0.67	0.00
MAG119	k__Bacteria (UID2569)	434	278	186	0	278	0	0	0	0	100.00	0.00	0.00
MAG120	o__Clostridiales (UID1212)	172	257	149	17	239	1	0	0	0	90.94	0.22	0.00
MAG121	o__Clostridiales (UID1212)	172	261	148	9	251	1	0	0	0	97.55	0.68	0.00
MAG122	o__Clostridiales (UID1212)	172	263	149	3	260	0	0	0	0	97.99	0.00	0.00
MAG123	o__Clostridiales (UID1212)	172	263	149	7	248	8	0	0	0	97.52	1.37	12.50
MAG124	o__Clostridiales (UID1226)	155	278	158	22	254	2	0	0	0	92.58	1.27	0.00
MAG125	o__Clostridiales (UID1226)	155	278	158	14	263	1	0	0	0	94.62	0.63	0.00
MAG126	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.56	0.16	0.00
MAG127	f__Lachnospiraceae (UID1255)	90	354	174	10	341	3	0	0	0	97.52	1.44	0.00
MAG128	f__Lachnospiraceae (UID1255)	90	354	174	5	344	5	0	0	0	98.16	2.30	0.00
MAG129	f__Lachnospiraceae (UID1255)	90	354	174	25	316	13	0	0	0	92.53	1.47	46.15
MAG130	f__Lachnospiraceae (UID1255)	90	354	174	34	314	6	0	0	0	94.69	2.38	0.00
MAG131	f__Lachnospiraceae (UID1286)	57	420	207	29	382	9	0	0	0	94.73	3.54	0.00
MAG132	o__Bacteroidales (UID2617)	213	406	265	6	399	1	0	0	0	98.67	0.38	0.00
MAG133	f__Lachnospiraceae (UID1255)	90	354	174	15	331	8	0	0	0	93.80	1.67	12.50
MAG134	g__Bacteroides (UID2691)	33	839	309	67	769	3	0	0	0	87.62	0.27	33.33
MAG135	f__Lachnospiraceae (UID1286)	57	420	207	3	416	1	0	0	0	99.21	0.16	0.00
MAG136	p__Bacteroidetes (UID2605)	350	314	208	0	314	0	0	0	0	100.00	0.00	0.00
MAG137	p__Bacteroidetes (UID2605)	350	314	208	1	312	1	0	0	0	99.52	0.48	0.00
MAG138	o__Bacteroidales (UID2617)	213	406	265	4	401	1	0	0	0	99.05	0.38	0.00
MAG139	o__Bacteroidales (UID2617)	213	406	265	7	399	0	0	0	0	97.92	0.00	0.00
MAG140	o__Clostridiales (UID1212)	172	263	149	6	257	0	0	0	0	96.64	0.00	0.00
MAG141	c__Clostridia (UID1085)	35	420	196	44	371	5	0	0	0	85.56	0.98	0.00
MAG142	o__Clostridiales (UID1226)	155	278	158	25	252	1	0	0	0	89.27	0.63	0.00
MAG143	o__Clostridiales (UID1212)	172	263	149	6	255	2	0	0	0	96.98	1.34	50.00
MAG144	f__Lachnospiraceae (UID1255)	90	354	174	32	318	4	0	0	0	88.39	2.30	0.00
MAG145	o__Bacteroidales (UID2617)	213	406	265	10	394	2	0	0	0	98.26	0.75	0.00
MAG146	f__Lachnospiraceae (UID1255)	90	354	174	15	337	2	0	0	0	96.25	1.15	0.00
MAG147	f__Lachnospiraceae (UID1255)	90	354	174	65	267	22	0	0	0	81.13	6.25	50.00
